ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
234562_x_at	0.00257	5.44e-05	-4.87	1.87909	-2.3		
242235_x_at	0.00257	5.45e-05	-4.87	1.877596	-1.79		
238354_x_at	0.0026	5.51e-05	-4.86	1.866061	-3.12		
211921_x_at	0.00261	5.55e-05	-4.86	1.85912	-1.11	LOC100506248///MIR1244-2///MIR1244-3///MIR1244-1///LOC728026///PTMA	prothymosin alpha///microRNA 1244-2///microRNA 1244-3///microRNA 1244-1///prothymosin alpha-like///prothymosin, alpha
227259_at	0.00261	5.56e-05	-4.86	1.85731	-1.79	CD47	CD47 molecule
220796_x_at	0.00262	5.59e-05	-4.86	1.852017	-1.98	SLC35E1	solute carrier family 35 member E1
1569938_at	0.00262	5.6e-05	-4.86	1.851175	-3.02	SIRT5	sirtuin 5
212246_at	0.00263	5.63e-05	-4.86	1.845872	-1.48	MCFD2	multiple coagulation factor deficiency 2
213485_s_at	0.00264	5.64e-05	-4.86	1.843384	-1.53	ABCC10	ATP binding cassette subfamily C member 10
231038_s_at	0.00265	5.67e-05	-4.85	1.838888	-1.46		
1560934_at	0.00265	5.68e-05	-4.85	1.836721	-2.48	LOC284669	uncharacterized LOC284669
225660_at	0.00265	5.7e-05	-4.85	1.834639	-2.97	SEMA6A	semaphorin 6A
217611_at	0.00266	5.71e-05	-4.85	1.831712	-2.88	ERICH1	glutamate rich 1
240507_at	0.00266	5.75e-05	-4.85	1.826126	-2.28		
226786_at	0.00266	5.76e-05	-4.85	1.824236	-1.39	RFX1	regulatory factor X1
224863_at	0.00268	5.8e-05	-4.84	1.81716	-2.33	GNAQ	G protein subunit alpha q
205453_at	0.00268	5.8e-05	-4.84	1.817158	-1.98	HOXB2	homeobox B2
225818_s_at	0.00272	5.9e-05	-4.84	1.801286	-2.69	TBRG1	transforming growth factor beta regulator 1
204270_at	0.00272	5.9e-05	-4.84	1.800255	-2.4	SKI	SKI proto-oncogene
204258_at	0.00272	5.91e-05	-4.84	1.798968	-1.11	CHD1	chromodomain helicase DNA binding protein 1
1555495_a_at	0.00273	5.94e-05	-4.83	1.793939	-1.21	CWC27	CWC27 spliceosome associated protein homolog
1552302_at	0.00276	6.01e-05	-4.83	1.783173	-3.62	TMEM106A	transmembrane protein 106A
244780_at	0.00277	6.05e-05	-4.83	1.776002	-2.77	SGPP2	sphingosine-1-phosphate phosphatase 2
231643_s_at	0.00278	6.06e-05	-4.83	1.774507	-2.31	CMIP	c-Maf inducing protein
1554096_a_at	0.00278	6.07e-05	-4.83	1.774125	-3.54	RBM33	RNA binding motif protein 33
237361_at	0.00278	6.08e-05	-4.83	1.771756	-1.61		
211493_x_at	0.00278	6.11e-05	-4.82	1.767994	-1.96	DTNA	dystrobrevin alpha
1556578_a_at	0.00279	6.13e-05	-4.82	1.764294	-2.43	FLJ31945	uncharacterized LOC440137
224051_at	0.0028	6.15e-05	-4.82	1.761391	-2.41		
1556462_a_at	0.0028	6.17e-05	-4.82	1.757602	-2.85		
239937_at	0.00281	6.2e-05	-4.82	1.752435	-2.78	ZNF207	zinc finger protein 207
236291_at	0.00282	6.23e-05	-4.82	1.749225	-1.84	RDH5	retinol dehydrogenase 5
239657_x_at	0.00282	6.23e-05	-4.82	1.748517	-1.66	FOXO6	forkhead box O6
228156_at	0.00282	6.26e-05	-4.81	1.744393	-1.49		
244646_at	0.00282	6.26e-05	-4.81	1.743504	-1.77		
226377_at	0.00286	6.34e-05	-4.81	1.731297	-1.31	NFIC	nuclear factor I C
231951_at	0.00286	6.36e-05	-4.81	1.728712	-1.55	GNAO1	G protein subunit alpha o1
237232_at	0.00287	6.37e-05	-4.81	1.726691	-2.62		
210736_x_at	0.00288	6.42e-05	-4.8	1.719684	-2.01	DTNA	dystrobrevin alpha
213850_s_at	0.0029	6.47e-05	-4.8	1.712348	-1.36	SCAF11	SR-related CTD associated factor 11
1564733_at	0.0029	6.48e-05	-4.8	1.711426	-1.37		
1569617_at	0.0029	6.49e-05	-4.8	1.710094	-2.42	OSBP2	oxysterol binding protein 2
234521_at	0.00292	6.53e-05	-4.8	1.703023	-1.98	OR51I2	olfactory receptor family 51 subfamily I member 2
1552472_a_at	0.00294	6.59e-05	-4.79	1.695165	-2.26	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2
1568815_a_at	0.00294	6.59e-05	-4.79	1.694171	-2.62	DDX50	DEAD-box helicase 50
222326_at	0.00294	6.61e-05	-4.79	1.691635	-1.89		
1566113_at	0.00294	6.64e-05	-4.79	1.687144	-2.44		
233252_s_at	0.00294	6.64e-05	-4.79	1.686931	-1.6	STRBP	spermatid perinuclear RNA binding protein
220611_at	0.00297	6.74e-05	-4.79	1.672823	-2.89	DAB1	DAB1, reelin adaptor protein
241769_at	0.00298	6.78e-05	-4.78	1.667789	-2.13		
240482_at	0.00298	6.79e-05	-4.78	1.666059	-1.67		
224605_at	0.00298	6.79e-05	-4.78	1.66567	-1.11	C4orf3	chromosome 4 open reading frame 3
1558028_x_at	0.00298	6.8e-05	-4.78	1.66464	-1.24	NORAD	non-coding RNA activated by DNA damage
236327_at	0.00298	6.81e-05	-4.78	1.663695	-2.24	CEPT1	choline/ethanolamine phosphotransferase 1
242920_at	0.00299	6.83e-05	-4.78	1.66042	-1.49		
209044_x_at	0.00299	6.85e-05	-4.78	1.657509	-1.15	SF3B4	splicing factor 3b subunit 4
212220_at	0.00299	6.85e-05	-4.78	1.65694	-1.91	PSME4	proteasome activator subunit 4
225641_at	0.00299	6.86e-05	-4.78	1.655853	-1.07	MEF2D	myocyte enhancer factor 2D
218273_s_at	0.003	6.88e-05	-4.78	1.653589	-1.58	PDP1	pyruvate dehyrogenase phosphatase catalytic subunit 1
238958_at	0.00301	6.91e-05	-4.78	1.649139	-1.55	UBE2E1	ubiquitin conjugating enzyme E2 E1
224254_x_at	0.00301	6.92e-05	-4.78	1.648329	-2.45		
224992_s_at	0.00301	6.94e-05	-4.77	1.645744	-1.33	CMIP	c-Maf inducing protein
228541_x_at	0.00301	6.94e-05	-4.77	1.644694	-1.17	NGRN	neugrin, neurite outgrowth associated
1558080_s_at	0.00302	6.98e-05	-4.77	1.640015	-1.58	DNAJC3	DnaJ heat shock protein family (Hsp40) member C3
1556650_at	0.00302	6.99e-05	-4.77	1.638664	-2.58		
243964_at	0.00302	7e-05	-4.77	1.636858	-2.47		
214781_at	0.00302	7.01e-05	-4.77	1.635931	-1.02		
235757_at	0.00302	7.02e-05	-4.77	1.634454	-1.21		
201615_x_at	0.00303	7.05e-05	-4.77	1.629998	-1.59	CALD1	caldesmon 1
220590_at	0.00304	7.07e-05	-4.77	1.627124	-2.39	ITFG2	integrin alpha FG-GAP repeat containing 2
234834_at	0.00306	7.12e-05	-4.76	1.620111	-1.42		
222418_s_at	0.00306	7.14e-05	-4.76	1.617297	-1.46	TMEM43	transmembrane protein 43
217627_at	0.00308	7.2e-05	-4.76	1.609751	-1.4	ZNF573	zinc finger protein 573
214682_at	0.00308	7.21e-05	-4.76	1.608674	-2.2	PKD1P1	polycystin 1, transient receptor potential channel interacting pseudogene 1
1560854_s_at	0.00309	7.22e-05	-4.76	1.607573	-2.32	ZNF107	zinc finger protein 107
208426_x_at	0.00309	7.26e-05	-4.76	1.60238	-1.7	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4
52005_at	0.00309	7.26e-05	-4.76	1.602167	-1.19	WIZ	widely interspaced zinc finger motifs
231808_at	0.00309	7.27e-05	-4.76	1.601127	-1.1	OIP5-AS1	OIP5 antisense RNA 1
233868_x_at	0.0031	7.31e-05	-4.75	1.594949	-2.01	ADAM33	ADAM metallopeptidase domain 33
228502_at	0.00311	7.32e-05	-4.75	1.593566	-1.99	RPS6KA6	ribosomal protein S6 kinase A6
205370_x_at	0.00311	7.35e-05	-4.75	1.59033	-1.59	DBT	dihydrolipoamide branched chain transacylase E2
1554769_at	0.00311	7.35e-05	-4.75	1.59005	-1.92	ZNF785	zinc finger protein 785
225517_at	0.00311	7.36e-05	-4.75	1.588946	-1.07	ZNF770	zinc finger protein 770
243835_at	0.00311	7.37e-05	-4.75	1.587769	-2.53	ZDHHC21	zinc finger DHHC-type containing 21
219451_at	0.00311	7.37e-05	-4.75	1.587118	-1.42	MSRB2	methionine sulfoxide reductase B2
233728_at	0.00311	7.38e-05	-4.75	1.586214	-2.75		
213755_s_at	0.00311	7.4e-05	-4.75	1.584177	-2.42	SKI	SKI proto-oncogene
229780_at	0.00311	7.4e-05	-4.75	1.584153	-2.37	MTSS1	metastasis suppressor 1
1569020_at	0.00311	7.4e-05	-4.75	1.583834	-2.05	NEDD9	neural precursor cell expressed, developmentally down-regulated 9
236620_at	0.00313	7.46e-05	-4.75	1.576266	-1.37	RIF1	replication timing regulatory factor 1
210513_s_at	0.00313	7.47e-05	-4.75	1.574015	-1.87	VEGFA	vascular endothelial growth factor A
218932_at	0.00313	7.48e-05	-4.75	1.573711	-1.14	ZNHIT6	zinc finger HIT-type containing 6
203016_s_at	0.00314	7.52e-05	-4.74	1.568451	-1.09	SSX2IP	SSX family member 2 interacting protein
228686_at	0.00315	7.56e-05	-4.74	1.563394	-1.98	LOC101929964///LINC01184	uncharacterized LOC101929964///long intergenic non-protein coding RNA 1184
216212_s_at	0.00315	7.57e-05	-4.74	1.561863	-1.9	MIR664B///SNORA56///DKC1	microRNA 664b///small nucleolar RNA, H/ACA box 56///dyskerin pseudouridine synthase 1
203230_at	0.00316	7.58e-05	-4.74	1.560073	-1.21	DVL1	dishevelled segment polarity protein 1
213747_at	0.00316	7.6e-05	-4.74	1.558396	-2.8	AZIN1	antizyme inhibitor 1
1557375_at	0.00316	7.61e-05	-4.74	1.556839	-2.25		
220253_s_at	0.00316	7.61e-05	-4.74	1.556595	-1.82	LRP12	LDL receptor related protein 12
243546_at	0.00316	7.62e-05	-4.74	1.555045	-1.72		
226975_at	0.00316	7.63e-05	-4.74	1.554661	-1.81	RNPC3	RNA binding region (RNP1, RRM) containing 3
1555318_at	0.00316	7.63e-05	-4.74	1.553816	-2.94	HIF3A	hypoxia inducible factor 3 alpha subunit
227440_at	0.00316	7.64e-05	-4.74	1.552695	-1.1	ANKS1B	ankyrin repeat and sterile alpha motif domain containing 1B
1555058_a_at	0.00316	7.66e-05	-4.74	1.550887	-1.66	LPGAT1	lysophosphatidylglycerol acyltransferase 1
216450_x_at	0.00316	7.66e-05	-4.74	1.550647	-2.22	HSP90B1	heat shock protein 90 beta family member 1
230630_at	0.00317	7.69e-05	-4.73	1.546733	-1.28	LOC100507855///AK4	adenylate kinase 4, mitochondrial-like///adenylate kinase 4
214004_s_at	0.0032	7.79e-05	-4.73	1.534793	-1.21	VGLL4	vestigial like family member 4
240810_at	0.0032	7.8e-05	-4.73	1.533151	-2.35	MKNK1-AS1	MKNK1 antisense RNA 1
232614_at	0.0032	7.8e-05	-4.73	1.532958	-3.12		
231495_at	0.0032	7.8e-05	-4.73	1.532594	-2.65		
37152_at	0.0032	7.81e-05	-4.73	1.532163	-1.35	PPARD	peroxisome proliferator activated receptor delta
203002_at	0.00322	7.87e-05	-4.73	1.524815	-1.64	AMOTL2	angiomotin like 2
210282_at	0.00322	7.87e-05	-4.73	1.524325	-2.06	ZMYM2	zinc finger MYM-type containing 2
224288_x_at	0.00324	7.96e-05	-4.72	1.513608	-1.38	FKSG49	FKSG49
244625_at	0.00325	7.98e-05	-4.72	1.510994	-1.81		
242652_at	0.00325	8e-05	-4.72	1.508618	-1.84		
201867_s_at	0.00326	8.04e-05	-4.72	1.504137	-2.87	TBL1X	transducin (beta)-like 1X-linked
220952_s_at	0.00327	8.05e-05	-4.72	1.502709	-1.14	PLEKHA5	pleckstrin homology domain containing A5
222873_s_at	0.00327	8.08e-05	-4.72	1.498843	-2.53	EHMT1	euchromatic histone lysine methyltransferase 1
214195_at	0.00327	8.09e-05	-4.71	1.497866	-2.33	TPP1	tripeptidyl peptidase 1
241681_at	0.00327	8.1e-05	-4.71	1.496532	-1.44		
1553720_a_at	0.00328	8.12e-05	-4.71	1.494107	-1.71	AMER2	APC membrane recruitment protein 2
213183_s_at	0.00329	8.15e-05	-4.71	1.490727	-1.91		
234723_x_at	0.00329	8.17e-05	-4.71	1.489091	-2.25		
1566638_at	0.0033	8.21e-05	-4.71	1.48371	-1.89		
202682_s_at	0.00331	8.25e-05	-4.71	1.479878	-1.16	USP4	ubiquitin specific peptidase 4
238346_s_at	0.00332	8.25e-05	-4.71	1.478879	-1.26	TGS1	trimethylguanosine synthase 1
244766_at	0.00332	8.26e-05	-4.71	1.477638	-2.04	LOC102723773///LOC101060604///LOC101060596///LOC101060386///SMG1P7///NPIPA5///SMG1P3///NPIPB5///SMG1P1///LOC613037///SMG1P5///BOLA2///SMG1P2///NPIPB4///SLC7A5P1///SMG1	serine/threonine-protein kinase SMG1-like///putative L-type amino acid transporter 1-like protein IMAA///serine/threonine-protein kinase SMG1-like///putative uncharacterized SMG1-like protein///SMG1P7, nonsense mediated mRNA decay associated PI3K related kinase pseudogene 7///nuclear pore complex interacting protein family member A5///SMG1P3, nonsense mediated mRNA decay associated PI3K related kinase pseudogene 3///nuclear pore complex interacting protein family member B5///SMG1P1, nonsense mediated mRNA decay associated PI3K related kinase pseudogene 1///nuclear pore complex interacting protein member///SMG1P5, nonsense mediated mRNA decay associated PI3K related kinase pseudogene 5///bolA family member 2///SMG1P2, nonsense mediated mRNA decay associated PI3K related kinase pseudogene 2///nuclear pore complex interacting protein family member B4///solute carrier family 7 member 5 pseudogene 1///SMG1, nonsense mediated mRNA decay associated PI3K related kinase
204909_at	0.00332	8.3e-05	-4.71	1.473751	-2.06	DDX6	DEAD-box helicase 6
220072_at	0.00335	8.37e-05	-4.7	1.465273	-1.46	CSPP1	centrosome and spindle pole associated protein 1
241091_at	0.00336	8.42e-05	-4.7	1.459584	-1.57	AGO3	argonaute 3, RISC catalytic component
222527_s_at	0.00336	8.42e-05	-4.7	1.459489	-3.13	RBM22	RNA binding motif protein 22
236241_at	0.00336	8.45e-05	-4.7	1.456892	-1.17	MED31	mediator complex subunit 31
1557963_at	0.00336	8.45e-05	-4.7	1.455838	-2.81	CDC42BPB	CDC42 binding protein kinase beta
1555439_at	0.00339	8.53e-05	-4.69	1.447206	-2.01	GTF3C3	general transcription factor IIIC subunit 3
200679_x_at	0.00339	8.55e-05	-4.69	1.445419	-1.19	HMGB1	high mobility group box 1
224979_s_at	0.0034	8.58e-05	-4.69	1.441457	-2.49	USP36	ubiquitin specific peptidase 36
233920_at	0.0034	8.63e-05	-4.69	1.436527	-2.24		
234692_at	0.0034	8.64e-05	-4.69	1.435137	-2.32		
230279_at	0.00341	8.67e-05	-4.69	1.431883	-2.1	LINC01504	long intergenic non-protein coding RNA 1504
227567_at	0.00341	8.68e-05	-4.69	1.430958	-1.06	LINC00674	long intergenic non-protein coding RNA 674
233017_x_at	0.00344	8.75e-05	-4.68	1.423442	-1.66		
243934_at	0.00344	8.76e-05	-4.68	1.422175	-1.95	ODF3B	outer dense fiber of sperm tails 3B
233360_at	0.00344	8.76e-05	-4.68	1.421865	-2.74	UBE2I	ubiquitin conjugating enzyme E2 I
236494_x_at	0.00344	8.77e-05	-4.68	1.420366	-1.7		
1558792_x_at	0.00348	8.91e-05	-4.68	1.405536	-1.64	AP2A1	adaptor related protein complex 2 alpha 1 subunit
1556656_at	0.00348	8.91e-05	-4.68	1.405402	-1.3		
218422_s_at	0.00348	8.93e-05	-4.68	1.403612	-1.03	RBM26	RNA binding motif protein 26
237094_at	0.00348	8.93e-05	-4.68	1.403095	-1.29	FAM19A5	family with sequence similarity 19 member A5, C-C motif chemokine like
239497_at	0.00351	9.01e-05	-4.67	1.395159	-1.92		
233884_at	0.00351	9.02e-05	-4.67	1.39392	-2.89	HIVEP3	human immunodeficiency virus type I enhancer binding protein 3
1554963_at	0.00353	9.1e-05	-4.67	1.385792	-2.08		
242816_at	0.00354	9.13e-05	-4.67	1.382727	-2.87		
220794_at	0.00354	9.14e-05	-4.67	1.381669	-2.45	GREM2	gremlin 2, DAN family BMP antagonist
231628_s_at	0.00354	9.15e-05	-4.67	1.380277	-5.16	SERPINB6	serpin family B member 6
222428_s_at	0.00354	9.15e-05	-4.67	1.379996	-1.07	LARS	leucyl-tRNA synthetase
236946_at	0.00354	9.17e-05	-4.67	1.377748	-2.15		
243295_at	0.00354	9.17e-05	-4.67	1.377652	-2.21	RBM27	RNA binding motif protein 27
213311_s_at	0.00354	9.18e-05	-4.67	1.377299	-1.19	TCF25	transcription factor 25
207084_at	0.00354	9.18e-05	-4.67	1.376972	-2.55	POU3F2	POU class 3 homeobox 2
235879_at	0.00354	9.19e-05	-4.67	1.375785	-1.47		
236602_at	0.00355	9.23e-05	-4.66	1.372193	-2.06		
221745_at	0.00356	9.25e-05	-4.66	1.369272	-2.17	DCAF7	DDB1 and CUL4 associated factor 7
211661_x_at	0.00356	9.26e-05	-4.66	1.368822	-2.44	PTAFR	platelet activating factor receptor
206792_x_at	0.00357	9.27e-05	-4.66	1.367246	-1.64	LOC729966///PDE4C	uncharacterized LOC729966///phosphodiesterase 4C
233559_s_at	0.00357	9.33e-05	-4.66	1.361223	-1.51	WDFY1	WD repeat and FYVE domain containing 1
214792_x_at	0.00357	9.33e-05	-4.66	1.361152	-1.91	VAMP2	vesicle associated membrane protein 2
222214_at	0.00357	9.34e-05	-4.66	1.360599	-2.04		
214796_at	0.00358	9.36e-05	-4.66	1.358646	-2.35	LOC101927137///KIAA1456	uncharacterized LOC101927137///KIAA1456
241818_at	0.00358	9.38e-05	-4.66	1.355909	-1.74		
235538_at	0.00359	9.42e-05	-4.66	1.352176	-1.38		
1558855_at	0.0036	9.43e-05	-4.66	1.350854	-1.82	FARP2	FERM, ARH/RhoGEF and pleckstrin domain protein 2
1558118_at	0.0036	9.47e-05	-4.65	1.3467	-2.2	LOC100287576///DGCR5	uncharacterized LOC100287576///DiGeorge syndrome critical region gene 5 (non-protein coding)
232150_at	0.0036	9.48e-05	-4.65	1.345893	-1.9		
210200_at	0.0036	9.48e-05	-4.65	1.345766	-1.33	WWP2	WW domain containing E3 ubiquitin protein ligase 2
209024_s_at	0.0036	9.49e-05	-4.65	1.345491	-1.26	SYNCRIP	synaptotagmin binding cytoplasmic RNA interacting protein
217793_at	0.00361	9.51e-05	-4.65	1.342777	-1.7	RAB11B	RAB11B, member RAS oncogene family
241593_x_at	0.00362	9.55e-05	-4.65	1.338699	-2.5		
210405_x_at	0.00364	9.63e-05	-4.65	1.331238	-2.17	TNFRSF10B	TNF receptor superfamily member 10b
220557_s_at	0.00364	9.65e-05	-4.65	1.328994	-2.23	PACS1	phosphofurin acidic cluster sorting protein 1
233226_at	0.00365	9.66e-05	-4.65	1.328159	-2.25	PTPN9	protein tyrosine phosphatase, non-receptor type 9
222909_s_at	0.00365	9.67e-05	-4.65	1.326728	-1.36	BAG4	BCL2 associated athanogene 4
1554671_a_at	0.00365	9.69e-05	-4.64	1.324721	-1.91	SRRM2	serine/arginine repetitive matrix 2
219300_s_at	0.00366	9.71e-05	-4.64	1.322828	-1.67	CNTNAP2	contactin associated protein-like 2
32099_at	0.00368	9.79e-05	-4.64	1.315684	-1.08	SAFB2	scaffold attachment factor B2
224001_at	0.00368	9.8e-05	-4.64	1.314227	-1.79	FAM135B	family with sequence similarity 135 member B
242018_at	0.00368	9.81e-05	-4.64	1.31344	-2.46		
239107_at	0.00369	9.83e-05	-4.64	1.311035	-2.23	LOC145783///ZNF280D	uncharacterized LOC145783///zinc finger protein 280D
244168_s_at	0.00369	9.85e-05	-4.64	1.309224	-2.32	ULK4	unc-51 like kinase 4
1555894_s_at	0.0037	9.9e-05	-4.64	1.304575	-2.55	MTSS1L	metastasis suppressor 1 like
244459_at	0.0037	9.91e-05	-4.64	1.303383	-1.86		
243988_at	0.00371	9.93e-05	-4.64	1.301583	-2.33		
1556629_a_at	0.00371	9.95e-05	-4.63	1.299594	-1.16	SNAP25	synaptosome associated protein 25
242665_at	0.00372	9.98e-05	-4.63	1.296509	-1.6	FMNL2	formin like 2
228971_at	0.00373	0.0001	-4.63	1.292806	-1.24	SLC25A3	solute carrier family 25 member 3
230258_at	0.00374	0.000101	-4.63	1.289438	-2.51	GLIS3	GLIS family zinc finger 3
202347_s_at	0.00375	0.000101	-4.63	1.284231	-1.18	UBE2K	ubiquitin conjugating enzyme E2 K
206924_at	0.00376	0.000102	-4.63	1.278658	-2.52	IL11	interleukin 11
220528_at	0.00376	0.000102	-4.63	1.278082	-1.53	VNN3	vanin 3
225571_at	0.00376	0.000102	-4.62	1.27576	-1.97	LIFR	leukemia inhibitory factor receptor alpha
1569608_x_at	0.00376	0.000102	-4.62	1.275247	-1.79	LOC105379426	ankyrin repeat domain-containing protein 20A2
203899_s_at	0.00376	0.000102	-4.62	1.275079	-1.75	CRCP	CGRP receptor component
211947_s_at	0.00376	0.000102	-4.62	1.27446	-1.2	PRRC2C	proline rich coiled-coil 2C
241966_at	0.00376	0.000102	-4.62	1.273969	-1.91	MYO5A	myosin VA
216315_x_at	0.00376	0.000102	-4.62	1.273953	-2.14		
223101_s_at	0.00376	0.000102	-4.62	1.272476	-1.03	ARPC5L	actin related protein 2/3 complex subunit 5 like
220113_x_at	0.00377	0.000103	-4.62	1.26885	-1.54	POLR1B	RNA polymerase I subunit B
239545_at	0.0038	0.000104	-4.62	1.260124	-1.42		
233204_at	0.00382	0.000104	-4.62	1.254565	-1.94		
225172_at	0.00382	0.000105	-4.62	1.251813	-1.21	CRAMP1	cramped chromatin regulator homolog 1
234151_at	0.00385	0.000106	-4.61	1.240854	-1.44		
1569482_at	0.00388	0.000107	-4.61	1.233202	-2.06	TNRC6C	trinucleotide repeat containing 6C
225507_at	0.00389	0.000107	-4.61	1.228724	-1.34	PNISR	PNN interacting serine and arginine rich protein
1557505_a_at	0.00389	0.000107	-4.61	1.228051	-2.42		
243121_x_at	0.0039	0.000108	-4.6	1.225572	-1.68		
1555380_at	0.0039	0.000108	-4.6	1.224533	-1.57	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4
217097_s_at	0.0039	0.000108	-4.6	1.222193	-2.52	PHTF2	putative homeodomain transcription factor 2
215497_s_at	0.00393	0.000109	-4.6	1.214091	-1.4	WDTC1	WD and tetratricopeptide repeats 1
239695_at	0.00394	0.000109	-4.6	1.20874	-2.42	JAK1	Janus kinase 1
243127_x_at	0.00395	0.00011	-4.6	1.205363	-2.07	DNASE1	deoxyribonuclease 1
228801_at	0.00395	0.00011	-4.6	1.204024	-2.13	ORMDL1	ORMDL sphingolipid biosynthesis regulator 1
229467_at	0.00396	0.00011	-4.59	1.200283	-1.7	PCBP2	poly(rC) binding protein 2
239978_at	0.00397	0.000111	-4.59	1.195646	-2.59		
243552_at	0.00399	0.000111	-4.59	1.192073	-2.2	MBTD1	mbt domain containing 1
202191_s_at	0.00399	0.000112	-4.59	1.189087	-1.04	GAS7	growth arrest specific 7
203132_at	0.004	0.000112	-4.59	1.187509	-1.0	RB1	RB transcriptional corepressor 1
1559375_s_at	0.004	0.000112	-4.59	1.186018	-2.83		
243992_at	0.004	0.000112	-4.59	1.185273	-1.26		
1566509_s_at	0.00402	0.000113	-4.58	1.177406	-1.16	FBXO9	F-box protein 9
237384_x_at	0.00402	0.000113	-4.58	1.175972	-1.2	KCTD16	potassium channel tetramerization domain containing 16
216524_x_at	0.00402	0.000113	-4.58	1.175312	-1.86		
242645_at	0.00402	0.000113	-4.58	1.174264	-2.76		
242417_at	0.00402	0.000114	-4.58	1.17316	-2.5	PLEKHA7	pleckstrin homology domain containing A7
234131_at	0.00402	0.000114	-4.58	1.172303	-2.01		
240971_x_at	0.00403	0.000114	-4.58	1.169193	-2.57		
243300_at	0.00404	0.000114	-4.58	1.167309	-2.11		
231913_s_at	0.00404	0.000114	-4.58	1.167269	-1.52	BRCC3	BRCA1/BRCA2-containing complex subunit 3
239597_at	0.00405	0.000115	-4.58	1.164172	-1.82		
238769_at	0.00406	0.000115	-4.58	1.15958	-2.68		
213579_s_at	0.00408	0.000116	-4.58	1.154058	-1.71	EP300	E1A binding protein p300
213371_at	0.0041	0.000117	-4.57	1.148693	-1.81	LDB3	LIM domain binding 3
220591_s_at	0.00412	0.000117	-4.57	1.143945	-2.59	EFHC2	EF-hand domain containing 2
232055_at	0.00413	0.000118	-4.57	1.139971	-1.77	SFXN1	sideroflexin 1
240239_at	0.00413	0.000118	-4.57	1.138474	-2.53	ZNF566	zinc finger protein 566
230457_at	0.00413	0.000118	-4.57	1.137474	-1.2	TMEM242	transmembrane protein 242
212005_at	0.00413	0.000118	-4.57	1.137318	-2.07	SZRD1	SUZ RNA binding domain containing 1
207365_x_at	0.00413	0.000118	-4.57	1.135224	-1.79	USP34	ubiquitin specific peptidase 34
241320_at	0.00413	0.000118	-4.57	1.133896	-3.01		
243051_at	0.00414	0.000119	-4.57	1.129837	-2.43	CNIH4	cornichon family AMPA receptor auxiliary protein 4
208325_s_at	0.00414	0.000119	-4.57	1.129018	-1.84	AKAP13	A-kinase anchoring protein 13
227062_at	0.00414	0.000119	-4.57	1.128442	-2.87	MIR612///NEAT1	microRNA 612///nuclear paraspeckle assembly transcript 1 (non-protein coding)
239061_at	0.00414	0.000119	-4.56	1.128067	-2.03	TPRXL	tetrapeptide repeat homeobox like
242608_x_at	0.00414	0.000119	-4.56	1.12771	-1.33	FAM161B	family with sequence similarity 161 member B
1560348_at	0.00415	0.00012	-4.56	1.123618	-2.88	ARHGEF28	Rho guanine nucleotide exchange factor 28
232063_x_at	0.00415	0.00012	-4.56	1.123474	-1.21	FARSB	phenylalanyl-tRNA synthetase beta subunit
244154_at	0.00415	0.00012	-4.56	1.122818	-1.41	DDHD1	DDHD domain containing 1
238277_at	0.00415	0.00012	-4.56	1.122548	-2.33		
238593_at	0.00416	0.00012	-4.56	1.120208	-1.42	C11orf80	chromosome 11 open reading frame 80
244815_at	0.00416	0.00012	-4.56	1.1177	-1.96		
1554565_x_at	0.00417	0.000121	-4.56	1.114357	-2.7	SPPL3	signal peptide peptidase like 3
242911_at	0.00417	0.000121	-4.56	1.114126	-2.64	MED13L	mediator complex subunit 13 like
234762_x_at	0.00417	0.000121	-4.56	1.113076	-1.91	NLN	neurolysin
1565620_at	0.00417	0.000121	-4.56	1.112913	-1.7	AGAP4	ArfGAP with GTPase domain, ankyrin repeat and PH domain 4
1563076_x_at	0.00418	0.000122	-4.56	1.108091	-2.84		
236700_at	0.0042	0.000122	-4.55	1.102893	-2.5	EIF3C	eukaryotic translation initiation factor 3 subunit C
242907_at	0.00421	0.000123	-4.55	1.100239	-2.36	GBP2	guanylate binding protein 2
238718_at	0.00422	0.000123	-4.55	1.094439	-2.83		
215127_s_at	0.00422	0.000123	-4.55	1.0942	-1.48	RBMS1	RNA binding motif single stranded interacting protein 1
208965_s_at	0.00423	0.000123	-4.55	1.093021	-2.8	IFI16	interferon gamma inducible protein 16
207950_s_at	0.00423	0.000124	-4.55	1.091602	-2.45	ANK3	ankyrin 3, node of Ranvier (ankyrin G)
217520_x_at	0.00423	0.000124	-4.55	1.089731	-1.31	LOC101929232///PDCD6IPP2	uncharacterized LOC101929232///PDCD6IP pseudogene 2
244443_at	0.00423	0.000124	-4.55	1.08837	-1.95	LINC01578	long intergenic non-protein coding RNA 1578
200906_s_at	0.00423	0.000124	-4.55	1.088283	-1.84	PALLD	palladin, cytoskeletal associated protein
229965_at	0.00423	0.000124	-4.55	1.086617	-2.16		
207598_x_at	0.00424	0.000125	-4.55	1.084749	-1.47	XRCC2	X-ray repair cross complementing 2
1569253_at	0.00428	0.000126	-4.54	1.073841	-2.6	INTS4	integrator complex subunit 4
