ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
206066_s_at	0.00154	2.29e-05	5.21	2.710367	2.2	RAD51C	RAD51 paralog C
200748_s_at	0.00154	2.3e-05	5.21	2.705868	1.56	FTH1	ferritin heavy chain 1
201703_s_at	0.00157	2.36e-05	5.2	2.681812	1.66	PPP1R10	protein phosphatase 1 regulatory subunit 10
217398_x_at	0.00159	2.38e-05	5.19	2.672427	1.8	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
210759_s_at	0.00159	2.38e-05	5.19	2.671168	1.62	PSMA1	proteasome subunit alpha 1
208811_s_at	0.00159	2.39e-05	5.19	2.667615	1.79	TMEM135///DNAJB6	transmembrane protein 135///DnaJ heat shock protein family (Hsp40) member B6
224025_s_at	0.00164	2.49e-05	5.17	2.630219	1.84	ATG7	autophagy related 7
210011_s_at	0.00166	2.54e-05	5.17	2.607894	1.93	EWSR1	EWS RNA binding protein 1
225483_at	0.00167	2.57e-05	5.16	2.597228	1.21	VPS26B	VPS26, retromer complex component B
217884_at	0.00168	2.6e-05	5.16	2.586972	1.15	NAT10	N-acetyltransferase 10
218034_at	0.00169	2.62e-05	5.15	2.578553	1.5	FIS1	fission, mitochondrial 1
1555882_at	0.0017	2.65e-05	5.15	2.568265	3.5	SPIN3	spindlin family member 3
210532_s_at	0.0017	2.65e-05	5.15	2.567098	1.32	C14orf2	chromosome 14 open reading frame 2
212038_s_at	0.0017	2.66e-05	5.15	2.566802	1.99	VDAC1	voltage dependent anion channel 1
208777_s_at	0.00171	2.68e-05	5.14	2.556335	1.81	PSMD11	proteasome 26S subunit, non-ATPase 11
200819_s_at	0.00171	2.69e-05	5.14	2.552718	1.18	RPS15	ribosomal protein S15
212695_at	0.00171	2.7e-05	5.14	2.549289	1.64	CRY2	cryptochrome circadian clock 2
201515_s_at	0.00172	2.72e-05	5.14	2.542102	1.14	TSN	translin
226249_at	0.00172	2.74e-05	5.14	2.536629	1.42	SNX30	sorting nexin family member 30
224689_at	0.00174	2.76e-05	5.13	2.528138	1.16	MANBAL	mannosidase beta like
217959_s_at	0.00174	2.78e-05	5.13	2.523179	2.56	MIR3656///TRAPPC4	microRNA 3656///trafficking protein particle complex 4
224890_s_at	0.00176	2.84e-05	5.12	2.503223	1.09	LAMTOR4	late endosomal/lysosomal adaptor, MAPK and MTOR activator 4
208740_at	0.00176	2.84e-05	5.12	2.501092	1.34	SAP18	Sin3A associated protein 18
208694_at	0.00176	2.85e-05	5.12	2.499832	1.42	PRKDC	protein kinase, DNA-activated, catalytic polypeptide
212068_s_at	0.00176	2.85e-05	5.12	2.499272	1.36	PRRC2B	proline rich coiled-coil 2B
208700_s_at	0.00178	2.9e-05	5.11	2.48353	1.3	TKT	transketolase
207614_s_at	0.00178	2.9e-05	5.11	2.482767	1.55	CUL1	cullin 1
229905_at	0.00179	2.94e-05	5.11	2.469303	2.21	RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1
218059_at	0.0018	2.95e-05	5.11	2.466391	1.06	ZNF706	zinc finger protein 706
201005_at	0.0018	2.97e-05	5.11	2.460097	3.41	CD9	CD9 molecule
222559_s_at	0.00182	3.03e-05	5.1	2.439159	1.83	RPRD1A	regulation of nuclear pre-mRNA domain containing 1A
208758_at	0.00183	3.05e-05	5.09	2.433311	1.24	ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
200699_at	0.00184	3.08e-05	5.09	2.425149	1.08	KDELR2	KDEL endoplasmic reticulum protein retention receptor 2
209450_at	0.00185	3.12e-05	5.09	2.413389	1.82	OSGEP	O-sialoglycoprotein endopeptidase
226896_at	0.00185	3.12e-05	5.09	2.411433	1.53	CHCHD1	coiled-coil-helix-coiled-coil-helix domain containing 1
205012_s_at	0.00186	3.17e-05	5.08	2.398279	1.75	HAGH	hydroxyacylglutathione hydrolase
202941_at	0.00186	3.17e-05	5.08	2.395764	1.49	NDUFV2	NADH:ubiquinone oxidoreductase core subunit V2
224318_s_at	0.00188	3.22e-05	5.07	2.382315	1.09	KANSL3	KAT8 regulatory NSL complex subunit 3
200968_s_at	0.00188	3.24e-05	5.07	2.375893	1.76	PPIB	peptidylprolyl isomerase B
200786_at	0.00189	3.25e-05	5.07	2.372422	1.64	PSMB7	proteasome subunit beta 7
200843_s_at	0.00192	3.31e-05	5.06	2.354558	1.33	EPRS	glutamyl-prolyl-tRNA synthetase
229420_at	0.00195	3.4e-05	5.05	2.32993	1.32	LOC101243545///SNORD4A	uncharacterized LOC101243545///small nucleolar RNA, C/D box 4A
201030_x_at	0.00196	3.42e-05	5.05	2.325213	1.59	LDHB	lactate dehydrogenase B
223124_s_at	0.00198	3.48e-05	5.04	2.308096	1.53	PITHD1	PITH domain containing 1
202363_at	0.00198	3.49e-05	5.04	2.305593	1.8	SPOCK1	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1
208682_s_at	0.002	3.53e-05	5.04	2.29288	2.39	MAGED2	MAGE family member D2
211978_x_at	0.00201	3.56e-05	5.03	2.286054	1.5	LOC101060363///PPIA	peptidyl-prolyl cis-trans isomerase A pseudogene///peptidylprolyl isomerase A
200813_s_at	0.00202	3.6e-05	5.03	2.275433	1.61	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1
218157_x_at	0.00203	3.65e-05	5.02	2.261624	1.42	CDC42SE1	CDC42 small effector 1
201971_s_at	0.00205	3.68e-05	5.02	2.253407	2.54	ATP6V1A	ATPase H+ transporting V1 subunit A
200647_x_at	0.00206	3.72e-05	5.02	2.242939	1.88	EIF3CL///EIF3C	eukaryotic translation initiation factor 3 subunit C-like///eukaryotic translation initiation factor 3 subunit C
202416_at	0.00206	3.73e-05	5.02	2.241357	1.33	DNAJC7	DnaJ heat shock protein family (Hsp40) member C7
203822_s_at	0.00207	3.75e-05	5.01	2.234759	1.44	ELF2	E74 like ETS transcription factor 2
201313_at	0.00207	3.76e-05	5.01	2.232335	1.38	ENO2	enolase 2
200818_at	0.00207	3.76e-05	5.01	2.232045	1.85	ATP5O	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit
212661_x_at	0.00207	3.78e-05	5.01	2.228069	1.6	LOC101060363///PPIA	peptidyl-prolyl cis-trans isomerase A pseudogene///peptidylprolyl isomerase A
201405_s_at	0.00209	3.81e-05	5.01	2.219177	1.07	COPS6	COP9 signalosome subunit 6
222427_s_at	0.00209	3.82e-05	5.01	2.217032	1.55	LARS	leucyl-tRNA synthetase
202104_s_at	0.00209	3.83e-05	5.01	2.215033	1.59	LOC101930112///SPG7	uncharacterized LOC101930112///SPG7, paraplegin matrix AAA peptidase subunit
229549_at	0.0021	3.85e-05	5.0	2.210118	1.44	CALU	calumenin
200899_s_at	0.00213	3.95e-05	4.99	2.185914	1.37	MGEA5	meningioma expressed antigen 5 (hyaluronidase)
203264_s_at	0.00217	4.02e-05	4.99	2.169544	1.2	ARHGEF9	Cdc42 guanine nucleotide exchange factor 9
208644_at	0.00217	4.04e-05	4.99	2.164491	1.2	PARP1	poly(ADP-ribose) polymerase 1
201225_s_at	0.00217	4.06e-05	4.98	2.160317	1.26	SRRM1	serine and arginine repetitive matrix 1
225101_s_at	0.00218	4.07e-05	4.98	2.157255	1.91	SNX14	sorting nexin 14
212197_x_at	0.00218	4.09e-05	4.98	2.152467	1.06	MPRIP	myosin phosphatase Rho interacting protein
201676_x_at	0.00219	4.11e-05	4.98	2.14655	1.75	PSMA1	proteasome subunit alpha 1
212039_x_at	0.0022	4.15e-05	4.97	2.137276	1.47	SNORD83B///SNORD139///RPL3	small nucleolar RNA, C/D box 83B///small nucleolar RNA, C/D box 139///ribosomal protein L3
200823_x_at	0.00221	4.2e-05	4.97	2.127783	1.34	RPL29	ribosomal protein L29
213208_at	0.00223	4.24e-05	4.97	2.117087	1.16	GLTSCR1L	GLTSCR1 like
213696_s_at	0.00223	4.25e-05	4.97	2.116257	2.31	MED8	mediator complex subunit 8
201167_x_at	0.00223	4.25e-05	4.97	2.11529	2.22	ARHGDIA	Rho GDP dissociation inhibitor alpha
AFFX-HUMGAPDH/M33197_M_at	0.00227	4.37e-05	4.95	2.088825	1.94	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
201929_s_at	0.00227	4.37e-05	4.95	2.087679	2.63	PKP4	plakophilin 4
206349_at	0.00228	4.42e-05	4.95	2.077982	1.41	LGI1	leucine rich glioma inactivated 1
226319_s_at	0.00229	4.43e-05	4.95	2.075243	3.19	ALYREF	Aly/REF export factor
203909_at	0.00229	4.44e-05	4.95	2.074241	1.32	SLC9A6	solute carrier family 9 member A6
201154_x_at	0.00229	4.45e-05	4.95	2.072281	1.25	SNORD18C///SNORD18B///SNORD18A///SNORD16///RPL4	small nucleolar RNA, C/D box 18C///small nucleolar RNA, C/D box 18B///small nucleolar RNA, C/D box 18A///small nucleolar RNA, C/D box 16///ribosomal protein L4
211927_x_at	0.00232	4.5e-05	4.94	2.059933	1.29	MIR3654///EEF1G	microRNA 3654///eukaryotic translation elongation factor 1 gamma
211765_x_at	0.00233	4.58e-05	4.94	2.044712	1.61	PPIA	peptidylprolyl isomerase A
203462_x_at	0.00234	4.58e-05	4.94	2.042717	1.24	EIF3B	eukaryotic translation initiation factor 3 subunit B
212458_at	0.00235	4.63e-05	4.93	2.032433	1.1	SPRED2	sprouty related EVH1 domain containing 2
212390_at	0.00236	4.65e-05	4.93	2.029776	1.1	LOC101930416///LOC101929792///LOC100996724///PDE4DIP	myomegalin-like///uncharacterized LOC101929792///phosphodiesterase 4D interacting protein-like///phosphodiesterase 4D interacting protein
224187_x_at	0.00237	4.67e-05	4.93	2.02449	1.91	SNORD14D///SNORD14C///HSPA8	small nucleolar RNA, C/D box 14D///small nucleolar RNA, C/D box 14C///heat shock protein family A (Hsp70) member 8
220820_at	0.00239	4.75e-05	4.92	2.009124	2.25		
208906_at	0.00239	4.75e-05	4.92	2.008685	1.55	HNRNPUL2-BSCL2///BSCL2	HNRNPUL2-BSCL2 readthrough (NMD candidate)///BSCL2, seipin lipid droplet biogenesis associated
213268_at	0.0024	4.76e-05	4.92	2.007157	1.49	CAMTA1	calmodulin binding transcription activator 1
207949_s_at	0.0024	4.78e-05	4.92	2.003392	2.14	ICA1	islet cell autoantigen 1
204100_at	0.00241	4.81e-05	4.92	1.995838	2.09	THRA	thyroid hormone receptor, alpha
202868_s_at	0.00244	4.97e-05	4.9	1.965427	1.72	POP4	POP4 homolog, ribonuclease P/MRP subunit
226781_at	0.00244	4.97e-05	4.9	1.964813	2.55	C7orf55-LUC7L2///FMC1///LUC7L2	C7orf55-LUC7L2 readthrough///formation of mitochondrial complex V assembly factor 1 homolog///LUC7 like 2, pre-mRNA splicing factor
217871_s_at	0.00245	4.98e-05	4.9	1.962914	1.4	MIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor)
201441_at	0.00247	5.04e-05	4.9	1.952012	1.19	COX6B1	cytochrome c oxidase subunit 6B1
204331_s_at	0.00249	5.11e-05	4.89	1.938599	2.61	MRPS12	mitochondrial ribosomal protein S12
223446_s_at	0.0025	5.14e-05	4.89	1.933477	2.55	DTNBP1	dystrobrevin binding protein 1
213614_x_at	0.00251	5.18e-05	4.89	1.925161	1.59	EEF1A1	eukaryotic translation elongation factor 1 alpha 1
209196_at	0.00252	5.22e-05	4.89	1.918374	2.63	WDR46	WD repeat domain 46
202897_at	0.00252	5.23e-05	4.88	1.916644	1.44	SIRPA	signal regulatory protein alpha
224972_at	0.00252	5.23e-05	4.88	1.915868	1.15	ROMO1	reactive oxygen species modulator 1
202121_s_at	0.00253	5.25e-05	4.88	1.911811	1.92	CHMP2A	charged multivesicular body protein 2A
225900_at	0.00253	5.27e-05	4.88	1.909394	1.31	EXOC6B	exocyst complex component 6B
214821_at	0.00254	5.3e-05	4.88	1.9032	1.35	SLC25A4	solute carrier family 25 member 4
211710_x_at	0.00254	5.33e-05	4.88	1.899046	1.26	SNORD18C///SNORD18B///SNORD18A///SNORD16///RPL4	small nucleolar RNA, C/D box 18C///small nucleolar RNA, C/D box 18B///small nucleolar RNA, C/D box 18A///small nucleolar RNA, C/D box 16///ribosomal protein L4
204238_s_at	0.00256	5.4e-05	4.87	1.885148	2.86	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1
200910_at	0.0026	5.5e-05	4.86	1.868003	1.26	LOC101927137///CCT3	uncharacterized LOC101927137///chaperonin containing TCP1 subunit 3
202022_at	0.00261	5.54e-05	4.86	1.860813	1.56	ALDOC	aldolase, fructose-bisphosphate C
230272_at	0.00262	5.6e-05	4.86	1.851346	2.26	LINC00461///MIR9-2	long intergenic non-protein coding RNA 461///microRNA 9-2
217221_x_at	0.00263	5.61e-05	4.86	1.849158	2.65	RBM10	RNA binding motif protein 10
219375_at	0.00264	5.66e-05	4.85	1.841303	1.58	CEPT1	choline/ethanolamine phosphotransferase 1
201757_at	0.00264	5.66e-05	4.85	1.84031	1.27	RPL10///NDUFS5	ribosomal protein L10///NADH:ubiquinone oxidoreductase subunit S5
208686_s_at	0.00265	5.69e-05	4.85	1.835237	1.61	BRD2	bromodomain containing 2
213477_x_at	0.00266	5.72e-05	4.85	1.830743	1.34	EEF1A1	eukaryotic translation elongation factor 1 alpha 1
206559_x_at	0.00266	5.74e-05	4.85	1.827023	1.61		
225498_at	0.00266	5.75e-05	4.85	1.82516	1.26	CHMP4B	charged multivesicular body protein 4B
201000_at	0.00266	5.75e-05	4.85	1.824726	1.17	AARS	alanyl-tRNA synthetase
215230_x_at	0.00268	5.8e-05	4.84	1.817663	1.56	EIF3CL///EIF3C	eukaryotic translation initiation factor 3 subunit C-like///eukaryotic translation initiation factor 3 subunit C
201293_x_at	0.00273	5.94e-05	4.83	1.793761	1.6	LOC101060363///PPIA	peptidyl-prolyl cis-trans isomerase A pseudogene///peptidylprolyl isomerase A
227427_at	0.00273	5.95e-05	4.83	1.793263	1.31	ARHGEF25	Rho guanine nucleotide exchange factor 25
1558779_at	0.00278	6.07e-05	4.83	1.772946	2.36	H2AFY	H2A histone family member Y
202309_at	0.00278	6.09e-05	4.83	1.769876	1.0	MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1
223490_s_at	0.00279	6.13e-05	4.82	1.764632	2.59	EXOSC3	exosome component 3
202106_at	0.0028	6.16e-05	4.82	1.759463	1.03	GOLGA3	golgin A3
210474_s_at	0.0028	6.17e-05	4.82	1.758209	1.96	CDK11A///CDK11B	cyclin dependent kinase 11A///cyclin dependent kinase 11B
202070_s_at	0.00281	6.2e-05	4.82	1.752891	1.7	IDH3A	isocitrate dehydrogenase 3 (NAD(+)) alpha
217883_at	0.00282	6.22e-05	4.82	1.750082	2.04	MMADHC	methylmalonic aciduria and homocystinuria, cblD type
217814_at	0.00282	6.24e-05	4.82	1.747341	1.31	CCDC47	coiled-coil domain containing 47
225923_at	0.0029	6.47e-05	4.8	1.712068	1.15	VAPB	VAMP associated protein B and C
200610_s_at	0.00291	6.51e-05	4.8	1.70643	1.01	NCL	nucleolin
207170_s_at	0.00292	6.54e-05	4.8	1.701505	1.23	LETMD1	LETM1 domain containing 1
210202_s_at	0.00294	6.59e-05	4.8	1.695424	1.49	BIN1	bridging integrator 1
223107_s_at	0.00294	6.61e-05	4.79	1.691776	1.26	ZCCHC17	zinc finger CCHC-type containing 17
201322_at	0.00294	6.61e-05	4.79	1.691217	1.63	ATP5B	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide
210987_x_at	0.00294	6.62e-05	4.79	1.689716	1.17	TPM1	tropomyosin 1 (alpha)
218681_s_at	0.00294	6.64e-05	4.79	1.687177	2.33	SDF2L1	stromal cell derived factor 2 like 1
201434_at	0.00294	6.65e-05	4.79	1.686221	1.08	TTC1	tetratricopeptide repeat domain 1
201821_s_at	0.00294	6.65e-05	4.79	1.685323	1.75	TIMM17A	translocase of inner mitochondrial membrane 17 homolog A (yeast)
228882_at	0.00294	6.66e-05	4.79	1.685042	1.53	TUB	tubby bipartite transcription factor
224724_at	0.00295	6.67e-05	4.79	1.682663	1.7	SULF2	sulfatase 2
210949_s_at	0.00295	6.68e-05	4.79	1.682159	1.95	EIF3CL///EIF3C	eukaryotic translation initiation factor 3 subunit C-like///eukaryotic translation initiation factor 3 subunit C
209059_s_at	0.00295	6.7e-05	4.79	1.678902	1.46	EDF1	endothelial differentiation related factor 1
209104_s_at	0.00296	6.71e-05	4.79	1.676914	1.11	NHP2	NHP2 ribonucleoprotein
211609_x_at	0.00297	6.76e-05	4.78	1.670612	2.22	PSMD4	proteasome 26S subunit, non-ATPase 4
208771_s_at	0.00298	6.8e-05	4.78	1.665146	1.14	LOC101928830///LTA4H	uncharacterized LOC101928830///leukotriene A4 hydrolase
200794_x_at	0.00298	6.82e-05	4.78	1.662228	1.27	DAZAP2	DAZ associated protein 2
205277_at	0.003	6.9e-05	4.78	1.650378	1.0	PRDM2	PR/SET domain 2
211501_s_at	0.00301	6.94e-05	4.77	1.645515	1.99	EIF3B	eukaryotic translation initiation factor 3 subunit B
221752_at	0.00301	6.94e-05	4.77	1.644438	1.3	SSH1	slingshot protein phosphatase 1
200079_s_at	0.00302	6.97e-05	4.77	1.641289	1.37	KARS	lysyl-tRNA synthetase
209265_s_at	0.00302	7.01e-05	4.77	1.635732	1.22	METTL3	methyltransferase like 3
225781_at	0.00302	7.03e-05	4.77	1.633238	1.24	MAPK9	mitogen-activated protein kinase 9
205047_s_at	0.00304	7.09e-05	4.77	1.624827	1.35	ASNS	asparagine synthetase (glutamine-hydrolyzing)
208714_at	0.00306	7.14e-05	4.76	1.617811	1.2	NDUFV1	NADH:ubiquinone oxidoreductase core subunit V1
211752_s_at	0.00309	7.23e-05	4.76	1.606182	1.05	NDUFS7	NADH:ubiquinone oxidoreductase core subunit S7
221495_s_at	0.00309	7.26e-05	4.76	1.601446	1.07	TCF25	transcription factor 25
214527_s_at	0.00309	7.27e-05	4.76	1.600969	1.28	PQBP1	polyglutamine binding protein 1
201191_at	0.0031	7.29e-05	4.76	1.597719	1.39	PITPNA	phosphatidylinositol transfer protein alpha
209248_at	0.0031	7.31e-05	4.75	1.594985	1.35	GHITM	growth hormone inducible transmembrane protein
209581_at	0.00311	7.33e-05	4.75	1.592826	1.83	PLA2G16	phospholipase A2 group XVI
231967_at	0.00311	7.35e-05	4.75	1.590638	1.19	PHF20L1	PHD finger protein 20-like 1
209180_at	0.00311	7.37e-05	4.75	1.587132	1.82	RABGGTB	Rab geranylgeranyltransferase beta subunit
211779_x_at	0.00311	7.38e-05	4.75	1.58649	1.21	AP2A2	adaptor related protein complex 2 alpha 2 subunit
201047_x_at	0.00314	7.51e-05	4.74	1.569835	1.43	WTH3DI///RAB6A	RAB6C-like///RAB6A, member RAS oncogene family
218763_at	0.00314	7.52e-05	4.74	1.568428	1.33	STX18	syntaxin 18
218861_at	0.00314	7.54e-05	4.74	1.565467	2.03	RNF25	ring finger protein 25
225865_x_at	0.00316	7.6e-05	4.74	1.558343	1.11	NELFCD	negative elongation factor complex member C/D
203259_s_at	0.00316	7.61e-05	4.74	1.556226	1.49	HDDC2	HD domain containing 2
208813_at	0.00319	7.74e-05	4.73	1.540278	2.08	GOT1	glutamic-oxaloacetic transaminase 1
211615_s_at	0.00321	7.82e-05	4.73	1.530781	1.17	LRPPRC	leucine rich pentatricopeptide repeat containing
228725_x_at	0.00323	7.89e-05	4.72	1.522542	2.57	PRMT2	protein arginine methyltransferase 2
212270_x_at	0.00323	7.89e-05	4.72	1.521519	1.33	RPL17-C18orf32///SNORD58C///C18orf32///SNORD58A///SNORD58B///RPL17	RPL17-C18orf32 readthrough///small nucleolar RNA, C/D box 58C///chromosome 18 open reading frame 32///small nucleolar RNA, C/D box 58A///small nucleolar RNA, C/D box 58B///ribosomal protein L17
201614_s_at	0.00323	7.92e-05	4.72	1.51876	1.78	RUVBL1	RuvB like AAA ATPase 1
213583_x_at	0.00324	7.95e-05	4.72	1.514757	1.16	EEF1A1	eukaryotic translation elongation factor 1 alpha 1
200689_x_at	0.00324	7.96e-05	4.72	1.514192	1.47	MIR3654///EEF1G	microRNA 3654///eukaryotic translation elongation factor 1 gamma
223125_s_at	0.00325	7.97e-05	4.72	1.511912	1.03	C1orf21	chromosome 1 open reading frame 21
211345_x_at	0.00325	8e-05	4.72	1.508444	1.35	MIR3654///EEF1G	microRNA 3654///eukaryotic translation elongation factor 1 gamma
201318_s_at	0.00327	8.08e-05	4.72	1.499497	1.27	MYL12B///MYL12A	myosin light chain 12B///myosin light chain 12A
200735_x_at	0.00327	8.1e-05	4.71	1.497134	1.88	NACA	nascent polypeptide-associated complex alpha subunit
201939_at	0.0033	8.2e-05	4.71	1.484897	1.61	PLK2	polo like kinase 2
201892_s_at	0.0033	8.2e-05	4.71	1.484599	1.78	IMPDH2	inosine monophosphate dehydrogenase 2
203043_at	0.00332	8.28e-05	4.71	1.476131	1.48	ZBED1	zinc finger BED-type containing 1
200846_s_at	0.00333	8.33e-05	4.7	1.470624	1.67	PPP1CA	protein phosphatase 1 catalytic subunit alpha
212581_x_at	0.00335	8.37e-05	4.7	1.465266	1.48	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
200066_at	0.00335	8.39e-05	4.7	1.463587	1.66	IK	IK cytokine, down-regulator of HLA II
215963_x_at	0.00335	8.39e-05	4.7	1.463471	1.62	RPL3	ribosomal protein L3
207668_x_at	0.00337	8.46e-05	4.7	1.454762	1.23	PDIA6	protein disulfide isomerase family A member 6
218957_s_at	0.00337	8.48e-05	4.7	1.453284	1.06	PAAF1	proteasomal ATPase associated factor 1
201002_s_at	0.00339	8.56e-05	4.69	1.444464	1.14	TMEM189-UBE2V1///TMEM189///UBE2V2///UBE2V1	TMEM189-UBE2V1 readthrough///transmembrane protein 189///ubiquitin conjugating enzyme E2 V2///ubiquitin conjugating enzyme E2 V1
212954_at	0.00339	8.56e-05	4.69	1.444178	1.46	DYRK4	dual specificity tyrosine phosphorylation regulated kinase 4
222005_s_at	0.0034	8.59e-05	4.69	1.441023	1.39	GNG3	G protein subunit gamma 3
203861_s_at	0.0034	8.61e-05	4.69	1.4386	2.48	ACTN2	actinin alpha 2
212301_at	0.0034	8.61e-05	4.69	1.438127	1.11	RTF1	RTF1 homolog, Paf1/RNA polymerase II complex component
223460_at	0.0034	8.64e-05	4.69	1.435239	1.09	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1
212988_x_at	0.00343	8.73e-05	4.69	1.425068	1.03	ACTG1///ACTB	actin gamma 1///actin beta
212159_x_at	0.00346	8.85e-05	4.68	1.412125	1.22	AP2A2	adaptor related protein complex 2 alpha 2 subunit
211938_at	0.00347	8.88e-05	4.68	1.409059	1.31	EIF4B	eukaryotic translation initiation factor 4B
221476_s_at	0.00351	9.02e-05	4.67	1.394209	1.28	RPL15	ribosomal protein L15
203724_s_at	0.00354	9.15e-05	4.67	1.380517	1.87	RUFY3	RUN and FYVE domain containing 3
202320_at	0.00354	9.16e-05	4.67	1.37903	2.09	GTF3C1	general transcription factor IIIC subunit 1
224830_at	0.00357	9.28e-05	4.66	1.366238	1.31	NUDT21	nudix hydrolase 21
225010_at	0.00357	9.29e-05	4.66	1.365096	1.27	CCDC6	coiled-coil domain containing 6
209095_at	0.00357	9.34e-05	4.66	1.360878	1.56	DLD	dihydrolipoamide dehydrogenase
202168_at	0.00358	9.35e-05	4.66	1.359091	1.35	AK6///TAF9	adenylate kinase 6///TATA-box binding protein associated factor 9
200642_at	0.0036	9.47e-05	4.65	1.346755	1.68	SOD1	superoxide dismutase 1, soluble
201735_s_at	0.00361	9.53e-05	4.65	1.341487	1.07	CLCN3	chloride voltage-gated channel 3
212537_x_at	0.00362	9.56e-05	4.65	1.337993	1.42	RPL17-C18orf32///SNORD58C///C18orf32///SNORD58A///SNORD58B///RPL17	RPL17-C18orf32 readthrough///small nucleolar RNA, C/D box 58C///chromosome 18 open reading frame 32///small nucleolar RNA, C/D box 58A///small nucleolar RNA, C/D box 58B///ribosomal protein L17
218191_s_at	0.00363	9.59e-05	4.65	1.335359	1.57	LMBRD1	LMBR1 domain containing 1
202507_s_at	0.00363	9.59e-05	4.65	1.335039	2.4	SNAP25	synaptosome associated protein 25
209236_at	0.00363	9.6e-05	4.65	1.334507	1.29	SLC23A2	solute carrier family 23 member 2
201533_at	0.00368	9.8e-05	4.64	1.31441	1.17	CTNNB1	catenin beta 1
200043_at	0.00368	9.81e-05	4.64	1.313769	1.01	ERH	enhancer of rudimentary homolog (Drosophila)
209234_at	0.00369	9.84e-05	4.64	1.310189	1.31	KIF1B	kinesin family member 1B
217766_s_at	0.0037	9.89e-05	4.64	1.305159	1.33	TMEM50A	transmembrane protein 50A
210028_s_at	0.00371	9.93e-05	4.64	1.302152	1.23	ORC3	origin recognition complex subunit 3
221700_s_at	0.00372	9.98e-05	4.63	1.296851	1.07	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1
1555900_at	0.00373	0.0001	4.63	1.292923	1.09	DCTN5	dynactin subunit 5
238017_at	0.00374	0.000101	4.63	1.288281	2.24	SDR16C5	short chain dehydrogenase/reductase family 16C, member 5
212641_at	0.00374	0.000101	4.63	1.287196	2.11	HIVEP2	human immunodeficiency virus type I enhancer binding protein 2
201652_at	0.00374	0.000101	4.63	1.286779	1.65	COPS5	COP9 signalosome subunit 5
213276_at	0.00374	0.000101	4.63	1.285549	1.47	CAMK2B	calcium/calmodulin dependent protein kinase II beta
212782_x_at	0.00376	0.000102	4.63	1.277758	1.08	POLR2J	RNA polymerase II subunit J
213453_x_at	0.00376	0.000102	4.62	1.274393	1.46	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
201592_at	0.00379	0.000103	4.62	1.263922	1.35	EIF3H	eukaryotic translation initiation factor 3 subunit H
201214_s_at	0.00379	0.000103	4.62	1.26367	1.09	PPP1R7	protein phosphatase 1 regulatory subunit 7
204343_at	0.0038	0.000104	4.62	1.260825	1.13	ABCA3	ATP binding cassette subfamily A member 3
222495_at	0.0038	0.000104	4.62	1.258805	1.06	TMEM167B	transmembrane protein 167B
207483_s_at	0.00382	0.000105	4.62	1.252282	1.36	CAND1	cullin associated and neddylation dissociated 1
210338_s_at	0.00383	0.000105	4.61	1.24961	3.33	SNORD14D///SNORD14C///HSPA8	small nucleolar RNA, C/D box 14D///small nucleolar RNA, C/D box 14C///heat shock protein family A (Hsp70) member 8
201237_at	0.00383	0.000105	4.61	1.247917	1.42	CAPZA2	capping actin protein of muscle Z-line alpha subunit 2
223110_at	0.00384	0.000105	4.61	1.244085	1.5	KIAA1429	KIAA1429
214882_s_at	0.00388	0.000107	4.61	1.23326	1.0	MIR636///SRSF2	microRNA 636///serine and arginine rich splicing factor 2
213315_x_at	0.00389	0.000107	4.61	1.230994	1.2	CXorf40A	chromosome X open reading frame 40A
202593_s_at	0.00392	0.000109	4.6	1.215666	1.75	GDE1	glycerophosphodiester phosphodiesterase 1
213045_at	0.00393	0.000109	4.6	1.213519	1.19	MAST3	microtubule associated serine/threonine kinase 3
208722_s_at	0.00393	0.000109	4.6	1.211158	1.67	ANAPC5	anaphase promoting complex subunit 5
213969_x_at	0.00393	0.000109	4.6	1.210479	1.21	RPL29	ribosomal protein L29
211378_x_at	0.00395	0.00011	4.6	1.203904	1.54	LOC101060363///PPIA	peptidyl-prolyl cis-trans isomerase A pseudogene///peptidylprolyl isomerase A
200913_at	0.00399	0.000112	4.59	1.189924	1.43	PPM1G	protein phosphatase, Mg2+/Mn2+ dependent 1G
223041_at	0.00399	0.000112	4.59	1.188308	1.46	CD99L2	CD99 molecule like 2
225061_at	0.004	0.000112	4.59	1.185996	1.8	DNAJA4	DnaJ heat shock protein family (Hsp40) member A4
